"","kegg.names","labels","all.mapped","type","x","y","width","height","rvs","rvm","mvs","rvs.col","rvm.col","mvs.col"
"13","PSPTO_0775","pst0775","","gene",159,325,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"15","PSPTO_1550","pst1550","PSPTO_1550","gene",159,252,46,17,-0.929145516962265,0.171786887324767,-1.10093240428703,"#BCBCD8","#D3D3D3","#BCBCD8"
"22","PSPTO_0774","pst0774","","gene",276,399,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"23","PSPTO_0259","001210","PSPTO_0259","gene",276,378,46,17,3.02065531343274,-2.44277034521684,5.46342565864957,"#E28D8D","#8D8DE2","#F04646"
"53","PSPTO_1169","005715","PSPTO_1169","gene",886,229,46,17,-1.37935922788877,-0.413447658214419,-0.965911569674348,"#BCBCD8","#D3D3D3","#BCBCD8"
"56","PSPTO_0775","pst0775","","gene",951,409,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"60","PSPTO_5381","028095","PSPTO_5381","gene",721,390,46,17,1.52962599308528,-1.44842843606184,2.97805442914711,"#D8BCBC","#BCBCD8","#E28D8D"
"67","PSPTO_1825","009385","PSPTO_1825","gene",1001,229,46,17,3.06911258952475,-3.63361577001185,6.70272835953659,"#E28D8D","#7575E7","#FA1717"
"68","PSPTO_1825","009385","PSPTO_1825","gene",1001,143,46,17,3.06911258952475,-3.63361577001185,6.70272835953659,"#E28D8D","#7575E7","#FA1717"
"69","PSPTO_1669","pst1669","","gene",968,95,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"79","PSPTO_2065","pst2065","","gene",468,317,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"99","PSPTO_5020","025715","PSPTO_5020","gene",593,317,46,17,1.79531736442266,-0.847356508085776,2.64267387250843,"#DDA4A4","#BCBCD8","#E28D8D"
"105","PSPTO_2288","pst2288","","gene",1041,390,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"111","PSPTO_3752","pst3752","","gene",1041,576,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"112","PSPTO_2202","pst2202","","gene",865,630,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"114","PSPTO_2287","pst2287","","gene",981,620,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"119","PSPTO_0744","pst0744","","gene",87,340,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"184","PSPTO_2201","pst2201","","gene",769,241,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"191","PSPTO_2968","016710","PSPTO_2968","gene",593,360,46,17,0.582575856875653,-2.39388890341023,2.97646476028588,"#D3D3D3","#A4A4DD","#E28D8D"
"194","PSPTO_2289","pst2289","","gene",1127,485,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
"196","PSPTO_2290","pst2290","","gene",1089,533,46,17,NA,NA,NA,"#FFFFFF","#FFFFFF","#FFFFFF"
