"","rvs","rvs_p","rvm","rvm_p","mvs","mvs_p"
"CP011972_fwdCDS_739233_739548_rev",0.508363054862198,0.260694864033224,0.296013387004718,0.741357967146164,0.21234966785748,0.683369670797765
"CP011972_ncRNA_119433_119810_fwd",-0.0698315657374082,0.96511133454054,-0.473258866243244,0.747792910491516,0.403427300505836,0.642310864469162
"CP011972_ncRNA_119724_119882_rev",-4.48034037035093,0.0117127229709245,-0.48555181403631,0.919961867511544,-3.99478855631462,0.0493265162099682
"CP011972_ncRNA_1226178_1226468_fwd",0.0836604112264905,NA,-0.748221609002953,0.896820794001315,0.831882020229444,0.760320831930993
"CP011972_ncRNA_1300899_1301216_rev",-1.66831818772444,0.218622518791184,-1.65647337876691,0.475314415179536,-0.0118448089575319,0.995545232417648
"CP011972_ncRNA_1324562_1324681_fwd",0.341008838545171,0.913061272858214,-0.442951505219744,0.91077466797705,0.783960343764915,0.673830635516478
"CP011972_ncRNA_1456361_1456660_fwd",-0.983809702157159,NA,-2.9523158441637,0.449139939343483,1.96850614200654,0.444276590953397
"CP011972_ncRNA_1494687_1495064_rev",1.40433586737552,0.440478201742986,-1.41454681827876,0.676514750766489,2.81888268565428,0.120743998611924
"CP011972_ncRNA_170583_170708_rev",-0.926982405070242,0.388104733297095,-0.323005895307806,0.89347112645806,-0.603976509762436,0.595546823866953
"CP011972_ncRNA_1718052_1718210_fwd",0.2883815185294,NA,1.14873935465972,0.50964577155672,-0.860357836130316,0.421748569525957
"CP011972_ncRNA_1752191_1752476_fwd",-0.928610822937562,0.186225702178165,0.196669518076127,0.909199768774492,-1.12528034101369,0.12845286140825
"CP011972_ncRNA_1766902_1767068_rev",0.206294541381512,NA,-0.24456141791652,0.972542118504973,0.450855959298033,0.909205789907919
"CP011972_ncRNA_1766907_1767062_fwd",-0.310110425904985,NA,-2.31237516172487,0.584584432257127,2.00226473581989,0.431204575680122
"CP011972_ncRNA_1849920_1850097_rev",0.398949443272334,0.840092311626456,-1.71857459766571,0.395891302883189,2.11752404093805,0.112191547813975
"CP011972_ncRNA_1897172_1897363_fwd",0.732672798974296,0.315582391365337,-0.154029013847873,0.934579142788038,0.886701812822169,0.248449447480763
"CP011972_ncRNA_1900868_1901148_fwd",-2.58334900196245,0.0991863123740756,-0.058658234179959,0.989261687079549,-2.5246907677825,0.146612563549795
"CP011972_ncRNA_1901261_1901639_rev",-1.09605393054997,0.350073499469798,-0.277244282277419,0.918382424224695,-0.818809648272551,0.496516508455309
"CP011972_ncRNA_1904241_1904570_fwd",-0.712204215432371,0.69335192373153,0.644266410818573,0.814980067662569,-1.35647062625094,0.35766814024008
"CP011972_ncRNA_2035568_2035765_fwd",0.259772621440888,0.798278191010235,-0.185643648970106,0.92660686512826,0.445416270410994,0.614035690050175
"CP011972_ncRNA_2294607_2294819_rev",1.158954172878,0.383974910181667,-1.15084638776494,0.662848998096401,2.30980056064294,0.100142621705107
"CP011972_ncRNA_2397801_2398064_fwd",-0.103398428005862,0.918993735977771,-0.651765486675865,0.495116566123954,0.548367058670003,0.362039437366714
