#Coverage (X)	Coverage
1.0	100.0
2.0	100.0
3.0	100.0
4.0	100.0
5.0	100.0
6.0	100.0
7.0	100.0
8.0	100.0
9.0	100.0
10.0	100.0
11.0	100.0
12.0	100.0
13.0	100.0
14.0	100.0
15.0	100.0
16.0	99.99998741213989
17.0	99.99998741213989
18.0	99.99998741213989
19.0	99.99998741213989
20.0	99.99997482427976
21.0	99.99997482427976
22.0	99.99993706069942
23.0	99.99991188497918
24.0	99.99988670925894
25.0	99.99983635781848
26.0	99.99981118209826
27.0	99.9996978913572
28.0	99.99960977633638
29.0	99.99949648559533
30.0	99.99938319485429
31.0	99.9993202555537
32.0	99.9991692012323
33.0	99.99906849835136
34.0	99.99891744402997
35.0	99.9988670925895
36.0	99.9987915654288
37.0	99.9987160382681
38.0	99.99861533538717
39.0	99.99855239608658
40.0	99.99852722036636
41.0	99.99840134176519
42.0	99.99836357818484
43.0	99.99827546316402
44.0	99.9981873481432
45.0	99.99806146954204
46.0	99.99778453661946
47.0	99.99715514361364
48.0	99.99604741192337
49.0	99.99414664504576
50.0	99.99073533495415
51.0	99.98575054234796
