#Coverage (X)	Coverage
1.0	100.0
2.0	100.0
3.0	100.0
4.0	100.0
5.0	100.0
6.0	100.0
7.0	100.0
8.0	100.0
9.0	100.0
10.0	100.0
11.0	100.0
12.0	100.0
13.0	100.0
14.0	100.0
15.0	99.99998869658131
16.0	99.99998869658131
17.0	99.99997739316262
18.0	99.99997739316262
19.0	99.99997739316262
20.0	99.99996608974395
21.0	99.99996608974395
22.0	99.99996608974395
23.0	99.99993217948789
24.0	99.99993217948789
25.0	99.99993217948789
26.0	99.99992087606921
27.0	99.99990957265052
28.0	99.99990957265052
29.0	99.99989826923184
30.0	99.99988696581315
31.0	99.99987566239446
32.0	99.99986435897578
33.0	99.99986435897578
34.0	99.9998530555571
35.0	99.99984175213841
36.0	99.99984175213841
37.0	99.99984175213841
38.0	99.99981914530103
39.0	99.99979653846367
40.0	99.99967220085813
41.0	99.99938961539101
42.0	99.99868880343253
43.0	99.99693677353635
44.0	99.99354574793082
45.0	99.98792794884434
46.0	99.97960863269213
47.0	99.96735572683751
48.0	99.9499597654812
49.0	99.92596260761279
50.0	99.89068463789668
51.0	99.83725337777234
