#Mapping quality	mapping quality
25.0	2.0
26.0	20.0
27.0	83.0
28.0	266.0
29.0	298.0
30.0	300.0
31.0	389.0
32.0	650.0
33.0	1035.0
34.0	1093.0
35.0	1196.0
36.0	1248.0
37.0	1137.0
38.0	849.0
39.0	741.0
40.0	798.0
41.0	973.0
42.0	1287.0
43.0	1736.0
44.0	2227.0
45.0	2391.0
46.0	2309.0
47.0	2102.0
48.0	2021.0
49.0	1984.0
50.0	1849.0
51.0	1652.0
52.0	1643.0
53.0	1632.0
54.0	1637.0
55.0	1497.0
56.0	1320.0
57.0	1103.0
58.0	1022.0
59.0	1031.0
60.0	1080.0
61.0	1126.0
62.0	1194.0
63.0	1024.0
64.0	974.0
65.0	1000.0
66.0	926.0
67.0	936.0
68.0	933.0
69.0	940.0
70.0	896.0
71.0	945.0
72.0	1063.0
73.0	967.0
74.0	914.0
75.0	840.0
76.0	751.0
77.0	666.0
78.0	605.0
79.0	615.0
80.0	625.0
81.0	865.0
82.0	893.0
83.0	1122.0
84.0	1068.0
85.0	1489.0
86.0	1396.0
87.0	1370.0
88.0	1291.0
89.0	1346.0
90.0	1368.0
91.0	1308.0
92.0	1260.0
93.0	1203.0
94.0	1105.0
95.0	1016.0
96.0	955.0
97.0	977.0
98.0	858.0
99.0	864.0
100.0	873.0
101.0	809.0
102.0	766.0
103.0	797.0
104.0	720.0
105.0	854.0
106.0	846.0
107.0	955.0
108.0	958.0
109.0	1057.0
110.0	999.0
111.0	1031.0
112.0	1002.0
113.0	1058.0
114.0	949.0
115.0	1000.0
116.0	1026.0
117.0	1119.0
118.0	1186.0
119.0	1364.0
120.0	1489.0
121.0	1747.0
122.0	1797.0
123.0	2160.0
124.0	2273.0
125.0	2206.0
126.0	1888.0
127.0	4384.0
128.0	2900.0
129.0	2881.0
130.0	3440.0
131.0	3476.0
132.0	3628.0
133.0	3619.0
134.0	3856.0
135.0	3683.0
136.0	3798.0
137.0	3657.0
138.0	3666.0
139.0	3593.0
140.0	3497.0
141.0	3378.0
142.0	3638.0
143.0	3475.0
144.0	3834.0
145.0	3792.0
146.0	3902.0
147.0	3855.0
148.0	4101.0
149.0	3941.0
150.0	4221.0
151.0	4036.0
152.0	4229.0
153.0	3985.0
154.0	4342.0
155.0	4085.0
156.0	4188.0
157.0	4231.0
158.0	3959.0
159.0	4059.0
160.0	4104.0
161.0	4060.0
162.0	4474.0
163.0	4500.0
164.0	4372.0
165.0	4469.0
166.0	4555.0
167.0	4252.0
168.0	3567.0
169.0	3278.0
170.0	4268.0
171.0	3193.0
172.0	3554.0
173.0	3373.0
174.0	3705.0
175.0	3596.0
176.0	4004.0
177.0	3619.0
178.0	3974.0
179.0	3676.0
180.0	3581.0
181.0	3469.0
182.0	3574.0
183.0	3084.0
184.0	3333.0
185.0	2914.0
186.0	2872.0
187.0	3043.0
188.0	3033.0
189.0	3460.0
190.0	2180.0
191.0	3642.0
192.0	3246.0
193.0	3284.0
194.0	3537.0
195.0	3403.0
196.0	3725.0
197.0	3582.0
198.0	3675.0
199.0	3815.0
200.0	3755.0
201.0	3578.0
202.0	3909.0
203.0	4238.0
204.0	4050.0
205.0	3854.0
206.0	4177.0
207.0	3819.0
208.0	4534.0
209.0	4439.0
210.0	4253.0
211.0	4093.0
212.0	5049.0
213.0	4569.0
214.0	5104.0
215.0	4855.0
216.0	5435.0
217.0	4786.0
218.0	5665.0
219.0	5423.0
220.0	5055.0
221.0	5781.0
222.0	5287.0
223.0	5779.0
224.0	5493.0
225.0	5554.0
226.0	6442.0
227.0	5931.0
228.0	6349.0
229.0	6472.0
230.0	6824.0
231.0	6239.0
232.0	7157.0
233.0	7907.0
234.0	7958.0
235.0	8055.0
236.0	8677.0
237.0	11071.0
238.0	10965.0
239.0	12005.0
240.0	14969.0
241.0	18245.0
242.0	22822.0
243.0	25298.0
244.0	35083.0
245.0	44177.0
246.0	58449.0
247.0	160234.0
248.0	212208.0
249.0	89205.0
250.0	604596.0
251.0	422872.0
252.0	37.0
254.0	6518502.0
