,AmgR,ArcZ,C0664,ChiX,CsrB,CsrC,CyaR,DapZ,DsrA,FnrS,GcvB,GlmY,GlmZ,InvR,IsrA,IsrB‑1,IsrB‑2,IsrC,IsrD,IsrF,IsrG,IsrH_1_2,IsrI,IsrJ,IsrK,IsrL,IsrM,IsrN,IsrO,IsrP,IsrQ,IstR‑1_2,MgrR,MicA,MicC,MicF,OmrA,OmrB,OxyS,RprA,RseX,RybA,RybB,RybD,RydB,RydC,RyeC,RyeF,RyfA,RygC,RygD,RyhB‑1,RyhB‑2,RyjB,SdsR,SgrS,Spf,SraA,SraB,SraC,SraF,SraG,SraL,sRNA1,sRNA10,sRNA12,sRNA3,sRNA9,SroA,SroC,SroG,SsrS,STnc070,STnc1010,STnc1030,STnc1040,STnc1060,STnc1080,STnc1090,STnc1110,STnc1130,STnc1150,STnc1160,STnc1170,STnc1180,STnc1200,STnc1210,STnc1220,STnc1270,STnc1280,STnc1290,STnc1300,STnc1310,STnc1320,STnc1330,STnc1340,STnc1380,STnc1390,STnc1400,STnc1410,STnc1420,STnc1430,STnc1460,STnc1470,STnc1480,STnc150,STnc1500,STnc1510,STnc1530,STnc1540,STnc1550,STnc1560,STnc1590,STnc1600,STnc1640,STnc1650,STnc1660,STnc1670,STnc1690,STnc1700,STnc1710,STnc1740,STnc1760,STnc1820,STnc1830,STnc1860,STnc1870,STnc1880,STnc1890,STnc1920,STnc1990,STnc200,STnc2010,STnc2030,STnc2040,STnc2050,STnc2070,STnc2080,STnc2090,STnc2100,STnc2110,STnc2130,STnc2160,STnc2170,STnc2180,STnc290,STnc3000,STnc3010,STnc3020,STnc3030,STnc3040,STnc3050,STnc3060,STnc3070,STnc3080,STnc3090,STnc310,STnc3100,STnc3110,STnc3120,STnc3130,STnc3140,STnc3150,STnc3160,STnc3170,STnc3180,STnc3200,STnc3210,STnc3220,STnc3230,STnc3240,STnc3250,STnc3270,STnc3280,STnc3290,STnc3300,STnc3310,STnc3330,STnc3340,STnc3350,STnc3390,STnc340,STnc3400,STnc3410,STnc3420,STnc3430,STnc3440,STnc3460,STnc3480,STnc3490,STnc350,STnc3500,STnc3510,STnc3530,STnc3540,STnc3550,STnc3570,STnc3580,STnc3600,STnc3610,STnc3620,STnc3630,STnc3640,STnc3680,STnc3700,STnc3720,STnc3730,STnc3740,STnc3750,STnc3760,STnc3770,STnc3790,STnc380,STnc3800,STnc3830,STnc3850,STnc3860,STnc3870,STnc3880,STnc3890,STnc3920,STnc3950,STnc3960,STnc3970,STnc3990,STnc400,STnc4000,STnc4010,STnc4020,STnc4040,STnc4070,STnc4080,STnc4100,STnc4110,STnc4120,STnc4130,STnc4140,STnc4150,STnc4160,STnc4170,STnc4180,STnc4190,STnc4200,STnc4210,STnc4220,STnc4230,STnc4240,STnc4250,STnc4260,STnc440,STnc470,STnc480,STnc490,STnc500,STnc520,STnc540,STnc630,STnc700,STnc710,STnc740,STnc750,STnc760,STnc770,STnc780,STnc790,STnc800,STnc810,STnc840,STnc850,STnc870,STnc880,STnc890,STnc920,STnc930,STnc950,STnc980,t44,tp2,tpke11,tpke70
AP012554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP006568,NA,NA,NA,NA,63,NA,NA,NA,NA,81,65,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,NA,75,NA,NA,NA,NA,NA,79,NA,NA,NA,NA,60,NA,NA,NA,NA,66,NA,NA,NA,93,71,NA,NA,67,65,NA,NA,NA,NA,71,NA,78,64,81,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP010907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP009451,NA,64,NA,72,77,NA,95,NA,85,93,91,76,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,86,NA,90,84,86,68,92,NA,NA,95,NA,NA,NA,NA,67,NA,NA,NA,86,NA,NA,98,61,97,78,NA,72,77,83,70,NA,NA,NA,82,NA,84,71,92,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,NA,70,NA,NA,NA,66,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,77,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,75,NA,NA,80,NA,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,74,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,69,NA,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,NA,NA,NA,NA,NA,63,82,NA,NA,NA,NA,89,NA,NA,76,NA,NA,NA,83,76,64
CP009458,NA,75,NA,72,75,NA,95,NA,83,93,92,77,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,86,NA,91,84,85,60,91,NA,NA,95,NA,NA,NA,NA,68,NA,NA,NA,86,NA,NA,97,62,97,75,NA,74,76,83,70,NA,NA,NA,81,NA,84,72,91,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,64,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,69,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,76,83,NA,81,NA,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,66,NA,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,72,NA,NA,69,NA,NA,NA,NA,NA,NA,67,NA,NA,81,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,NA,NA,NA,NA,NA,59,60,NA,NA,NA,71,84,NA,NA,77,NA,NA,NA,84,76,62
CP009459,NA,73,NA,72,76,NA,95,NA,86,94,92,76,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,65,NA,NA,NA,NA,NA,86,NA,91,84,85,60,90,NA,NA,95,NA,NA,NA,NA,67,NA,NA,NA,86,NA,NA,98,61,97,75,NA,75,76,83,70,NA,NA,NA,81,NA,85,73,91,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,NA,NA,NA,NA,65,65,87,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,76,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,75,83,NA,81,NA,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,79,NA,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,60,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,71,NA,NA,69,NA,NA,NA,NA,NA,NA,67,NA,NA,81,69,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,NA,NA,NA,NA,NA,60,83,NA,NA,NA,71,85,NA,NA,70,NA,NA,NA,67,76,65
CP000822,NA,89,76,77,92,92,99,86,91,100,98,96,95,NA,NA,76,76,NA,NA,NA,NA,NA,NA,86,NA,NA,NA,NA,NA,NA,NA,88,86,96,84,98,100,86,91,94,NA,90,96,NA,NA,94,91,84,NA,NA,NA,85,77,NA,99,78,98,83,91,78,NA,94,96,NA,92,76,89,NA,84,89,87,95,NA,NA,NA,NA,NA,NA,73,83,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,74,NA,58,NA,NA,NA,70,NA,73,80,61,86,NA,NA,NA,71,93,84,NA,NA,NA,NA,NA,53,NA,83,NA,NA,NA,NA,NA,87,83,NA,87,NA,NA,NA,94,89,NA,91,NA,72,96,NA,94,65,NA,NA,60,NA,NA,NA,78,NA,NA,76,NA,87,87,NA,NA,75,NA,NA,NA,NA,58,NA,70,75,NA,NA,77,64,NA,NA,85,75,76,66,NA,NA,NA,NA,NA,72,65,NA,75,NA,74,NA,81,75,NA,NA,NA,NA,NA,NA,NA,NA,81,80,64,NA,NA,NA,NA,NA,NA,NA,68,73,90,73,NA,NA,NA,NA,61,86,NA,NA,62,78,NA,83,NA,74,NA,NA,81,NA,NA,NA,NA,70,81,NA,NA,NA,86,78,NA,89,NA,NA,NA,NA,NA,NA,79,63,77,98,NA,NA,NA,NA,78,NA,59,61,75,91,93,93,88,NA,91,88,NA,NA,97,91,94,86
CP007557,NA,92,78,76,91,94,99,83,93,100,96,94,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,70,NA,NA,NA,NA,NA,86,90,97,77,92,98,87,83,92,NA,86,95,NA,94,NA,92,83,81,97,76,94,NA,NA,94,81,98,91,81,76,92,97,90,NA,88,75,83,NA,77,86,89,95,NA,NA,NA,NA,89,NA,74,71,NA,NA,70,73,79,NA,90,NA,81,NA,55,75,NA,NA,69,99,NA,88,87,NA,76,86,93,NA,NA,NA,65,NA,80,84,58,76,NA,NA,76,NA,87,83,NA,NA,NA,NA,NA,70,NA,77,NA,NA,NA,NA,NA,83,80,NA,NA,NA,87,NA,94,95,87,93,NA,NA,100,NA,93,62,NA,NA,NA,NA,NA,80,69,NA,NA,78,NA,86,86,NA,NA,71,NA,NA,NA,NA,57,NA,76,NA,NA,NA,75,61,NA,NA,88,NA,NA,NA,NA,69,NA,NA,NA,66,NA,NA,68,NA,74,NA,84,72,NA,NA,NA,62,NA,NA,NA,NA,77,81,68,NA,NA,NA,NA,NA,NA,NA,78,73,85,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,73,68,87,NA,74,NA,NA,77,NA,NA,NA,NA,NA,96,73,NA,NA,82,81,NA,95,NA,NA,NA,83,NA,NA,72,72,73,93,NA,NA,NA,NA,76,NA,66,67,75,80,82,100,90,NA,92,95,NA,NA,98,90,73,86
CP011132,NA,87,82,75,91,84,99,81,95,98,97,95,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,88,71,97,79,93,99,87,91,94,NA,85,95,NA,88,NA,93,86,81,92,76,85,78,78,99,80,98,91,83,75,85,95,95,NA,88,73,90,NA,90,85,89,93,NA,NA,NA,86,NA,NA,78,74,NA,NA,NA,NA,81,NA,NA,NA,80,NA,59,NA,NA,NA,NA,99,88,NA,NA,NA,75,83,94,NA,NA,NA,NA,NA,84,85,66,72,NA,NA,71,69,87,89,NA,NA,NA,NA,NA,75,NA,85,NA,NA,NA,NA,NA,88,80,NA,77,NA,86,NA,93,87,89,92,NA,74,98,NA,94,NA,NA,NA,74,NA,NA,82,79,NA,NA,74,NA,80,79,NA,NA,NA,NA,NA,NA,NA,55,NA,80,74,NA,NA,69,65,78,NA,NA,NA,67,NA,NA,70,NA,NA,NA,NA,63,NA,70,NA,71,NA,82,73,NA,NA,NA,NA,NA,NA,NA,NA,77,79,68,NA,NA,NA,NA,NA,NA,NA,NA,74,85,57,NA,NA,NA,NA,79,NA,NA,NA,77,76,69,83,NA,72,NA,NA,86,NA,NA,NA,NA,NA,73,74,NA,NA,84,81,NA,92,NA,NA,NA,NA,NA,NA,NA,NA,73,96,83,NA,NA,NA,73,NA,66,71,NA,88,97,100,90,NA,89,85,NA,NA,91,85,95,82
FN543502,NA,86,66,82,88,86,100,86,93,98,98,95,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,91,73,96,73,91,98,88,92,97,71,83,97,NA,89,NA,91,89,NA,NA,NA,86,75,NA,99,83,98,88,NA,83,87,92,94,NA,88,68,86,76,62,86,93,95,NA,NA,72,NA,NA,NA,87,76,NA,NA,74,NA,NA,82,NA,NA,83,NA,73,72,NA,68,79,100,78,NA,NA,NA,76,83,NA,NA,NA,NA,63,NA,79,79,56,79,66,NA,NA,70,78,88,NA,NA,NA,NA,NA,65,NA,84,NA,NA,NA,NA,NA,83,83,NA,NA,85,95,NA,89,88,80,92,NA,NA,NA,NA,91,52,NA,NA,68,NA,NA,83,76,NA,NA,79,NA,80,87,NA,NA,NA,69,NA,NA,NA,57,NA,75,79,NA,NA,72,61,71,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,69,NA,81,77,NA,NA,NA,NA,NA,NA,NA,NA,74,82,53,NA,NA,NA,NA,NA,NA,NA,NA,71,85,79,NA,NA,NA,NA,64,NA,NA,NA,NA,77,54,NA,NA,80,NA,NA,78,NA,NA,NA,NA,NA,78,71,NA,NA,87,84,NA,86,NA,NA,NA,NA,93,NA,NA,43,70,97,82,NA,NA,NA,NA,NA,64,63,NA,88,93,100,91,NA,93,94,NA,72,86,96,NA,82
