IYO_000005	PSPTO_0001
IYO_000010	PSPTO_0002
IYO_000015	PSPTO_0003
IYO_000020	PSPTO_0004
IYO_000025	PSPTO_1086
IYO_000030	PSPTO_1087
IYO_000035	PSPTO_1089
IYO_000040	PSPTO_1571
IYO_000045	PSPTO_0005
IYO_000050	PSPTO_0027
IYO_000055	PSPTO_0028
IYO_000060	PSPTO_0029
IYO_000065	PSPTO_0030
IYO_000080	PSPTO_5348
IYO_000085	PSPTO_0032
IYO_000090	PSPTO_0033
IYO_000095	PSPTO_0192
IYO_000125	PSPTO_2099
IYO_000130	PSPTO_0005
IYO_000135	PSPTO_5591
IYO_000140	PSPTO_3966
IYO_000145	PSPTO_0005
IYO_000150	PSPTO_0006
IYO_000155	PSPTO_0008
IYO_000160	PSPTO_0011
IYO_000165	PSPTO_0013
IYO_000170	PSPTO_0014
IYO_000175	PSPTO_2967
IYO_000180	PSPTO_0025
IYO_000185	PSPTO_0026
IYO_000190	PSPTO_0027
IYO_000205	PSPTO_5409
IYO_000210	PSPTO_4695
IYO_000215	PSPTO_4696
IYO_000220	PSPTO_0189
IYO_000225	PSPTO_3050
IYO_000230	PSPTO_0187
IYO_000235	PSPTO_0186
IYO_000240	PSPTO_0185
IYO_000245	PSPTO_0184
IYO_000250	PSPTO_0183
IYO_000255	PSPTO_0182
IYO_000260	PSPTO_0181
IYO_000265	PSPTO_0180
IYO_000270	PSPTO_0179
IYO_000275	PSPTO_0178
IYO_000280	PSPTO_0177
IYO_000285	PSPTO_0176
IYO_000290	PSPTO_0175
IYO_000295	PSPTO_0174
IYO_000300	PSPTO_0173
IYO_000305	PSPTO_0170
IYO_000310	PSPTO_0169
IYO_000315	PSPTO_0168
IYO_000320	PSPTO_0166
IYO_000325	PSPTO_0165
IYO_000330	PSPTO_0164
IYO_000350	PSPTO_0163
IYO_000355	PSPTO_0162
IYO_000360	PSPTO_0161
IYO_000365	PSPTO_0159
IYO_000370	PSPTO_0158
IYO_000375	PSPTO_0157
IYO_000380	PSPTO_0156
IYO_000385	PSPTO_0155
IYO_000390	PSPTO_0154
IYO_000395	PSPTO_0153
IYO_000400	PSPTO_0152
IYO_000405	PSPTO_0151
IYO_000410	PSPTO_0150
IYO_000415	PSPTO_0147
IYO_000420	PSPTO_0146
IYO_000425	PSPTO_0145
IYO_000430	PSPTO_0144
IYO_000435	PSPTO_0143
IYO_000440	PSPTO_0142
IYO_000445	PSPTO_0141
IYO_000450	PSPTO_4276
IYO_000455	PSPTO_1859
IYO_000460	PSPTO_0140
IYO_000465	PSPTO_0139
IYO_000470	PSPTO_0138
IYO_000475	PSPTO_0137
IYO_000480	PSPTO_0136
IYO_000490	PSPTO_0135
IYO_000495	PSPTO_0134
IYO_000500	PSPTO_0132
IYO_000505	PSPTO_0131
IYO_000510	PSPTO_0130
IYO_000515	PSPTO_0129
IYO_000520	PSPTO_0128
IYO_000525	PSPTO_0127
IYO_000530	PSPTO_0126
IYO_000535	PSPTO_0125
IYO_000540	PSPTO_0121
IYO_000545	PSPTO_0120
IYO_000550	PSPTO_0119
IYO_000555	PSPTO_0118
IYO_000560	PSPTO_0149
IYO_000565	PSPTO_4511
IYO_000580	PSPTO_0117
IYO_000585	PSPTO_0116
IYO_000590	PSPTO_0115
IYO_000595	PSPTO_0114
IYO_000600	PSPTO_0113
IYO_000605	PSPTO_0112
IYO_000610	PSPTO_0111
IYO_000615	PSPTO_0110
IYO_000620	PSPTO_0109
IYO_000625	PSPTO_0108
IYO_000630	PSPTO_0107
IYO_000635	PSPTO_0106
IYO_000640	PSPTO_0105
IYO_000645	PSPTO_0103
IYO_000650	PSPTO_0102
IYO_000655	PSPTO_0101
IYO_000660	PSPTO_0100
IYO_000665	PSPTO_0099
IYO_000670	PSPTO_0098
IYO_000675	PSPTO_0097
IYO_000680	PSPTO_0096
